start station name,counts
1 Ave & E 16 St,2331
1 Ave & E 18 St,1690
1 Ave & E 30 St,1692
1 Ave & E 44 St,1728
10 Ave & W 28 St,2094
11 Ave & W 27 St,1547
11 Ave & W 41 St,1992
11 Ave & W 59 St,2366
12 Ave & W 40 St,3020
2 Ave & E 31 St,3010
2 Ave & E 58 St,2960
3 Ave & Schermerhorn St,380
3969.TEMP (Bike The Branches - Central Branch),216
5 Ave & E 29 St,1938
6 Ave & Broome St,1760
6 Ave & Canal St,2078
6 Ave & W 33 St,1741
8 Ave & W 31 St N,4409
8 Ave & W 33 St,2796
8 Ave & W 52 St,2339
9 Ave & W 14 St,4181
9 Ave & W 16 St,2839
9 Ave & W 18 St,1813
9 Ave & W 22 St,3367
9 Ave & W 45 St,2381
Adelphi St & Myrtle Ave,811
Allen St & Hester St,1335
Allen St & Rivington St,2390
Allen St & Stanton St,2108
Ashland Pl & Hanson Pl,1153
Atlantic Ave & Fort Greene Pl,1250
Atlantic Ave & Furman St,1439
Avenue D & E 12 St,292
Avenue D & E 3 St,478
Avenue D & E 8 St,588
Bank St & Hudson St,2337
Bank St & Washington St,2709
Barclay St & Church St,2456
Barrow St & Hudson St,2613
Bayard St & Baxter St,1801
Bedford Ave & S 9 St,264
Bialystoker Pl & Delancey St,1218
Bond St & Schermerhorn St,823
Broad St & Bridge St,1004
Broadway & Battery Pl,2645
Broadway & Berry St,784
Broadway & E 14 St,5177
Broadway & E 22 St,4021
Broadway & W 24 St,4955
Broadway & W 29 St,2026
Broadway & W 32 St,2307
Broadway & W 36 St,1455
Broadway & W 37 St,1285
Broadway & W 38 St,1787
Broadway & W 41 St,2662
Broadway & W 49 St,2062
Broadway & W 51 St,2246
Broadway & W 53 St,2476
Broadway & W 56 St,3502
Broadway & W 58 St,5401
Broadway & W 60 St,1455
Bus Slip & State St,2926
Cadman Plaza E & Red Cross Pl,844
Cadman Plaza E & Tillary St,903
Cadman Plaza W & Pierrepont St,1197
Cadman Plaza West & Montague St,2283
Canal St & Rutgers St,1737
Carlton Ave & Flushing Ave,665
Carlton Ave & Park Ave,709
Carmine St & 6 Ave,3694
Catherine St & Monroe St,423
Central Park S & 6 Ave,4925
Centre St & Chambers St,3905
Centre St & Worth St,1782
Cherry St,1283
Christopher St & Greenwich St,4002
Clark St & Henry St,969
Clermont Ave & Lafayette Ave,655
Clermont Ave & Park Ave,238
Cleveland Pl & Spring St,3630
Cliff St & Fulton St,1710
Clinton Ave & Flushing Ave,480
Clinton Ave & Myrtle Ave,957
Clinton St & Grand St,1806
Clinton St & Joralemon St,790
Clinton St & Tillary St,1232
Columbia Heights & Cranberry St,771
Columbia St & Rivington St,872
Concord St & Bridge St,387
Cumberland St & Lafayette Ave,1603
DeKalb Ave & Hudson Ave,2435
DeKalb Ave & S Portland Ave,649
DeKalb Ave & Skillman St,57
DeKalb Ave & Vanderbilt Ave,129
Dean St & 4 Ave,1545
Division St & Bowery,948
Duane St & Greenwich St,1434
Duffield St & Willoughby St,449
E 10 St & 5 Ave,1513
E 10 St & Avenue A,2296
E 11 St & 1 Ave,2273
E 11 St & 2 Ave,2820
E 11 St & Broadway,1653
E 12 St & 3 Ave,2576
E 13 St & Avenue A,1947
E 14 St & Avenue B,1499
E 15 St & 3 Ave,347
E 15 St & Irving Pl,2375
E 16 St & 5 Ave,2007
E 17 St & Broadway,5621
E 19 St & 3 Ave,2245
E 2 St & 2 Ave,1128
E 2 St & Avenue B,1845
E 2 St & Avenue C,2302
E 20 St & 2 Ave,2163
E 20 St & FDR Drive,1807
E 20 St & Park Ave,1374
E 23 St & 1 Ave,2201
E 24 St & Park Ave S,3547
E 25 St & 1 Ave,1064
E 25 St & 2 Ave,1906
E 27 St & 1 Ave,1571
E 3 St & 1 Ave,1898
E 30 St & Park Ave S,1555
E 31 St & 3 Ave,2495
E 32 St & Park Ave,2171
E 33 St & 2 Ave,1593
E 33 St & 5 Ave,1315
E 37 St & Lexington Ave,274
E 39 St & 2 Ave,2882
E 39 St & 3 Ave,1903
E 4 St & 2 Ave,3181
E 40 St & 5 Ave,470
E 43 St & Vanderbilt Ave,2474
E 45 St & 3 Ave,1327
E 47 St & 1 Ave,1021
E 47 St & 2 Ave,1680
E 47 St & Park Ave,1710
E 48 St & 3 Ave,301
E 48 St & Madison Ave,1399
E 5 St & Avenue C,1163
E 51 St & 1 Ave,1451
E 51 St & Lexington Ave,2148
E 52 St & 2 Ave,811
E 53 St & Lexington Ave,1714
E 53 St & Madison Ave,1807
E 55 St & 2 Ave,348
E 55 St & Lexington Ave,512
E 56 St & 3 Ave,1550
E 56 St & Madison Ave,409
E 58 St & 3 Ave,2848
E 6 St & Avenue B,1244
E 6 St & Avenue D,704
E 60 St & York Ave,1011
E 7 St & Avenue A,2623
E 9 St & Avenue C,2230
Elizabeth St & Hester St,953
Emerson Pl & Myrtle Ave,438
FDR Drive & E 35 St,2037
Forsyth St & Broome St,1746
Forsyth St & Canal St,1551
Franklin Ave & Myrtle Ave,236
Franklin St & W Broadway,3450
Front St & Gold St,537
Front St & Maiden Ln,1721
Front St & Washington St,1655
Fulton St & Broadway,1759
Fulton St & Clermont Ave,397
Fulton St & Grand Ave,620
Fulton St & Rockwell Pl,1088
Fulton St & Washington Ave,879
Fulton St & William St,1419
Gallatin Pl & Livingston St,252
Grand Army Plaza & Central Park S,1342
Grand St & Greene St,418
Grand St & Havemeyer St,667
Great Jones St,2254
Greenwich Ave & 8 Ave,1286
Greenwich Ave & Charles St,1879
Greenwich St & North Moore St,2662
Greenwich St & W Houston St,2936
Greenwich St & Warren St,2679
Hancock St & Bedford Ave,291
Hanover Pl & Livingston St,148
Harrison St & Hudson St,1037
Henry St & Atlantic Ave,1414
Henry St & Grand St,777
Henry St & Poplar St,513
Hicks St & Montague St,1798
Howard St & Centre St,2454
Hudson St & Reade St,1729
Jay St & Tech Pl,1101
John St & William St,1584
Johnson St & Gold St,768
Kent Ave & S 11 St,418
LaGuardia Pl & W 3 St,2227
Lafayette Ave & Classon Ave,472
Lafayette Ave & Fort Greene Pl,860
Lafayette Ave & St James Pl,476
Lafayette St & E 8 St,4432
Lafayette St & Jersey St N,1681
Laight St & Hudson St,667
Lawrence St & Willoughby St,2881
Lefferts Pl & Franklin Ave,655
Leonard St & Church St,1435
Lexington Ave & Classon Ave,450
Lexington Ave & E 24 St,2259
Lexington Ave & E 29 St,2031
Liberty St & Broadway,2137
Lispenard St & Broadway,1468
Little West St & 1 Pl,1268
MLSWKiosk,2
MacDougal St & Prince St,2333
MacDougal St & Washington Sq,1689
Macon St & Nostrand Ave,684
Madison St & Clinton St,548
Madison St & Montgomery St,546
Maiden Ln & Pearl St,1423
Market St & Cherry St,961
Mercer St & Bleecker St S,2496
Mercer St & Spring St,2305
Metropolitan Ave & Bedford Ave,1599
Monroe St & Bedford Ave,283
Monroe St & Classon Ave,221
Mott St & Prince St,2843
Murray St & West St,2183
Myrtle Ave & St Edwards St,235
NYCBS Depot - DEL,351
NYCBS Depot - FAR,787
NYCBS Depot - SSP,390
NYCBS Test,189
Nassau St & Navy St,359
Norfolk St & Broome St,1424
Old Fulton St,1867
Old Slip & Front St,1497
Park Ave & St Edwards St,89
Pearl St & Anchorage Pl,1196
Pearl St & Hanover Square,2043
Peck Slip & Front St,397
Perry St & Bleecker St,1546
Pershing Square North,3861
Pershing Square South,2908
Pike St & E Broadway,943
Pike St & Monroe St,567
Pitt St & Stanton St,516
Railroad Ave & Kay Ave,295
Reade St & Broadway,1503
Rivington St & Chrystie St,1831
Rivington St & Ridge St,1051
S 3 St & Bedford Ave,890
S 4 St & Wythe Ave,803
S 5 Pl & S 5 St,1921
S Portland Ave & Hanson Pl,423
Sands St & Navy St,153
Shevchenko Pl & E 7 St,544
South End Ave & Liberty St,493
South St & Gouverneur Ln,2307
South St & Whitehall St,1565
Spruce St & Nassau St,1625
St James Pl & Oliver St,985
St James Pl & Pearl St,721
St Marks Pl & 1 Ave,2046
St Marks Pl & 2 Ave,2651
Stanton St & Chrystie St,1799
Stanton St & Mangin St,638
State St & Smith St,1368
Suffolk St & Stanton St,1961
Sullivan St & Washington Sq,1798
University Pl & E 14 St,2923
Vesey Pl & River Terrace,4105
W 11 St & 6 Ave,1900
W 13 St & 5 Ave,761
W 13 St & 6 Ave,2460
W 13 St & 7 Ave,1764
W 14 St & The High Line,2889
W 15 St & 7 Ave,2879
W 16 St & The High Line,2381
W 17 St & 8 Ave,2424
W 18 St & 6 Ave,2251
W 20 St & 11 Ave,5983
W 20 St & 7 Ave,2435
W 20 St & 8 Ave,2295
W 21 St & 6 Ave,2659
W 22 St & 10 Ave,2526
W 22 St & 8 Ave,2175
W 24 St & 7 Ave,2472
W 25 St & 6 Ave,2272
W 26 St & 10 Ave,958
W 26 St & 8 Ave,1736
W 27 St & 7 Ave,2609
W 29 St & 9 Ave,1580
W 31 St & 7 Ave,1215
W 33 St & 7 Ave,2892
W 34 St & 11 Ave,1156
W 37 St & 10 Ave,1634
W 37 St & 5 Ave,2355
W 38 St & 8 Ave,2361
W 39 St & 9 Ave,2577
W 4 St & 7 Ave S,2795
W 41 St & 8 Ave,3409
W 42 St & 8 Ave,1784
W 43 St & 10 Ave,2390
W 43 St & 6 Ave,867
W 44 St & 5 Ave,1537
W 45 St & 6 Ave (1),1900
W 45 St & 8 Ave,498
W 46 St & 11 Ave,1706
W 47 St & 10 Ave,1995
W 49 St & 8 Ave,2994
W 51 St & 6 Ave,1899
W 52 St & 11 Ave,1986
W 52 St & 5 Ave,1851
W 52 St & 9 Ave,1671
W 53 St & 10 Ave,1390
W 54 St & 9 Ave,1549
W 56 St & 10 Ave,1849
W 56 St & 6 Ave,2996
W 59 St & 10 Ave,2236
W Broadway & Spring St,2754
Warren St & Church St,1576
Washington Ave & Greene Ave,365
Washington Ave & Park Ave,568
Washington Park,551
Washington Pl & 6 Ave,2004
Washington Pl & Broadway,1904
Washington Square E,2297
Washington St & Gansevoort St,2516
Water - Whitehall Plaza,1429
Watts St & Greenwich St,2116
West St & Chambers St,4529
West Thames St,4800
William St & Pine St,1517
Willoughby Ave & Hall St,619
Willoughby Ave & Walworth St,506
Willoughby St & Fleet St,432
Wythe Ave & Metropolitan Ave,1381
York St & Jay St,1657
